排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推荐！登顶《纽约时报》畅销榜80+周，这本书比你听说的还要好！）,"['塔拉 · 韦斯特弗 ', ' ， 新经典 出品']",None,http://img3m2.ddimg.cn/0/27/28473192-1_w_22.jpg,2019年11月 ,南海出版公司,35.40,59.00,6,文学,外国随笔,32开,轻型纸,精装,否,9787544276986,"★ 奇迹！一部新人处女作，上市第·一周即登上《纽约时报》图书排行榜，zhi今已累计80周，仍高居No.1，全美销量破百万册，作者被《时代周刊》评为“年度影响力人物”
★17岁前从未上过学的女孩，如何成为剑桥大学博士？我们要背叛多少曾经，才能找到真正的自我！
★ 比尔·盖茨年度荐书 No.1  
★ 美国Amazon年度编辑选书 No.1  
★ Goodreads读者票选超过米歇尔《成为》，获年度图书
★《纽约时报》《华尔街日报》《波士顿环球报》图书排行 No.1 
★《纽约时报》《卫报》《华盛顿邮报》《泰晤士报》《时代周刊》《奥普拉杂志》《经济学人》、美国国家公共广播电台等数十家媒体 年度图书！
一个惊人的故事，真正鼓舞人心。我在阅读她极·端的童年故事时，也开始反思起自己的生活。《你当像鸟飞往你的山》每个人都会喜欢。它甚zhi比你听说的还要好。——比尔·盖茨
你可以用很多说法来称呼这个崭新的自我：转型，蜕变，虚伪，背叛。而我称之为：教育。——塔拉·韦斯特弗
教育意味着获得不同的视角，理解不同的人、经历和历史。如果人们受过教育，他们应该多听，少说，对差异满怀激情，热爱那些不同于他们的想法。——塔拉·韦斯特弗，《福布斯杂志》访谈
  ※英文原版中用特殊字体（斜体）表示语气强调、引用或心理活动的内容，中文版也遵照原文，以特殊字体（仿宋）标记，以示区别。
 ",1657078,"['装帧精美（3486）', '经典必读（3360）', '引人入胜（2630）', '优美隽永（2117）']"
2,人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝望凄美故事）,"['（日）太宰治\u3000', '，杨伟\u3000译']",，杨伟　,http://img3m5.ddimg.cn/56/4/23761145-1_w_13.jpg,2015年08月 ,作家出版社,10.00,25.00,4,小说,社会小说,32开,胶版纸,平装-胶订,否,9787506380263,"★ 即使时移世易，深深的绝望依旧源自内心的迷茫，而这种迷茫和彷徨几乎贯穿了太宰治以及我们每个人的青春。因此，《人间失格》是一部残酷而永恒的青春文学。
★ 世界文学名著系列，名家翻译，全译本，唯美设计，印刷精美。

更多精彩链接特惠套装：人间失格 罗生门
简·奥斯汀爱情小说（全3册：《傲慢与偏见》 《理智与情感》 《爱玛》）
乔治.奥威尔经典套装（一九八四 动物农场）
泰戈尔诺贝尔文学奖经典套装：全3册全彩珍藏版

汪曾祺典藏文集（全四册：人间知味 人间世相 大淖记事 鸡鸭名家）

《努力，是为了可以选择》套装（全三册）

好看到根本停不下来的推理小说
老舍经典套装（全4册，《四世同堂》 《骆驼祥子.月牙儿》 《我这一辈子》 《济南的冬天》）

自带流量的名家经典套装
心理学经典套装（乌合之众 自卑与超越）
《汤姆.索亚历险记》全集（《汤姆.索亚历险记》 《哈克贝利.费恩历险记》）
显示全部信息",2224907,"['经典必读（10870）', '装帧精美（9771）', '引人入胜（6843）', '情节曲折（5764）', '温情感人（5116）']"
3,乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫·勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）,"['(法) 古斯塔夫·勒庞 ', '，马晓佳 译']",，马晓佳 ,http://img3m9.ddimg.cn/25/29/25246609-1_w_23.jpg,2018年04月 ,民主与建设出版社,11.70,26.00,4.5,心理学,心理学经典著作,32开,胶版纸,平装-胶订,否,9787513919524,"◎一本赞扬和骂名同样猛烈的书。 
    它提出了惊世骇俗的“暴民理论”；它预见了20世纪的心理学和政治发展；它影响了很多不想被其影响的人，如弗洛伊德、戴高乐等；它道出了我们感到不舒服却不得不认可的真相——不想做乌合之众却常常不自觉地置身其中……
  ◎一个全译本。 
⑴ 未跳过某些较难句子、段落，本书完整译出所有句段。
⑵ 保留原著中作者添加的所有注释，以及改版后作者再次添加的注释。
  ◎一个更流畅的版本。 
⑴ 青年新锐译者马晓佳，中科院心理学硕士，持二级心理咨询师证，尤其擅长翻译心理学著作。同时具有英语专八资质，作品受到俞敏洪、李阳的称赞。
⑵ 本书为极简翻译文风，纠正其中30余处硬伤、千余处语焉不详。历时一年翻译完成，反复修改20多遍，减少艰深晦涩之处，深入浅出。语言贴近生活，既有学术性，又不失现代感。
⑶ 本书为较难理解的地方，加上了细致的注释，减少理解障碍。
例如：“……与大陆法系（包括中国在内）不同，英美法系属于判例法，更关注具体的案例而不是抽象的条款。”
 ",748838,"['可读性强（2353）', '内容专业（2071）', '心理学必备（2035）', '脑洞大开（1768）', '心理治愈（1618）']"
4,神奇校车·图画书版（全12册）,"['(美)乔安娜柯尔 ', ' ,(美)布鲁斯·迪根 图']",None,http://img3m8.ddimg.cn/82/19/25252408-1_w_1692697003.jpg,2018年05月 ,贵州人民出版社,99.00,198.00,5,童书,科普/百科,大16开,胶版纸,平装-胶订,是,9787221125224,"情节惊险刺激，语言生动爆笑，知识清晰严谨。
把硬生生的科普知识，跟故事情节结合，小孩就会很乐意读；
科普知识点以笔记的方式来展现，形式也很有趣，日常生活的场景描述和口语都包括。
科学性和趣味性相结合。
获奖无数：
★美国国家图书馆推荐给学龄前儿童和小学生的课外自然科普读物
★ 全球受欢迎的儿童自然科学图书系列
★ 荣获波士顿环球图书奖
★ 荣获美国《教育杂志》非虚构类阅读奖
★ 美国“波士顿环球报——号角出版社”非虚构类最有价值童书
★ 入选“全美书商联盟”精选书目，《阅读一道彩虹》精选童书
★ 受到美国《纽约时报》《波士顿环球报》等各大媒体高度评价。
  ",1774603,"['通俗易懂（13578）', '趣味性强（13539）', '知识点丰富（11257）', '获奖作品（8239）', '可读性强（6301）', '引进版（5802）', '内容权威（3460）']"
5,作家榜名著：月亮与六便士（155万读者高分推荐！全新未删节插图珍藏版！满地都是六便士，他却抬头看见了月亮！毛姆小说代表作！）,"['[英] 毛姆 ', '，作家榜经典名', ' 出品，徐淳刚（诗人） 译，大星文化，高更 绘']",None,http://img3m1.ddimg.cn/66/15/24175371-1_w_1707037441.jpg,2017年01月 ,浙江文艺出版社,19.90,39.80,5,小说,世界名著,32开,胶版纸,平装-锁线胶订,否,9787533936020,"《月亮与六便士》中译本众多，为什么百万读者选择作家榜版？6大硬核入手理由——
1、名家名译，译自原版：传奇诗人徐淳刚呕心译作，译自英国Vintage Books出版社1999版《月亮与六便士》！无删节无改编！原汁原味！完整典藏！
2、译文传神，流畅好读：精准的诗意译文，全方位呈现出毛姆刻薄犀利却又情意绵绵的文学特色！引爆读者盛赞惊叹：“原来毛姆的作品这么好看！”
3、名画插图，赏心悦目：特别收录小说主人公原型，法国画家高更经典代表作，包括《自画像》《我们从哪里来？我们是谁？我们到哪里去？》等。
4、全新导读，讲透精髓：足足7000字精彩导读，透彻解析本书的精神内核：“你一生真正的抉择只有一次，你应该被梦想照亮，还是被金钱照亮？”
5、六项荣誉，获奖无数：上市至今靠口碑持续热销！荣获2018-2020当当经典名著销量桂冠（已公证）等多项荣誉。
6、真实口碑，好评如潮：作家榜版《月亮与六便士》，仅在当当网就创下1402370条真实热评（截止2022年9月20日数据）！一直被山寨，从未被超越！
读经典名著，认准作家榜！拒绝仿冒盗版！
 ",1562662,"['经典必读（4995）', '装帧精美（4233）', '引人入胜（2949）', '温情感人（2601）', '情节曲折（2416）']"
6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,[]
7,正面管教(修订版),['[美] 简·尼尔森'],None,http://img3m0.ddimg.cn/64/6/23990140-1_w_46.jpg,2016年07月 ,北京联合出版公司,19.00,38.00,5,亲子/家教,家教方法,16开,胶版纸,平装-胶订,否,9787550268517,"1、 畅销美国400多万册，被翻译成16种语言畅销全球；
2、 让数百万孩子、父母和老师受益终身的经典之作； 
3、 自1981年本书*版出版以来，《正面管教》已经成为管教孩子的“黄金准则” 
4、 简·尼尔森——教育学博士、杰出的心理学家——在本书中告诉21世纪的父母和老师们：
惩罚和娇纵为什么对孩子都不好，并且不管用？
怎样用既不惩罚又不娇纵的正面管教方法培养孩子受益终生的良好品质？
如何用正面管教方法自动消除孩子的不良行为？
如何赢得孩子与父母和老师的合作？
如何消解大人与孩子之间的权力之争？
“超级父母”对孩子会有什么危害？
各种性格的父母对孩子会有什么正反两方面的影响？父母如何发挥自己性格中的优点，避免缺点给孩子造成的不良影响？
老师们如何避免对孩子造成管教问题？
从3岁到青春期的十几岁的孩子以及孩子的父母和老师，都将因为本书而彻底改变家里和学校的气氛，改变自己的人生。
 ",2134205,"['家长必读（4806）', '实用（3237）', '内容丰富（2513）', '亲子关系（2026）', '共同成长（1960）', '宝妈必备（1732）', '儿童心理（1530）', '隔代养育（1022）']"
8,云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,"['张嘉佳 ', ',博集天卷 出品']",None,http://img3m9.ddimg.cn/77/23/25295369-1_w_1691567405.jpg,2018年07月 ,湖南文艺出版社,28.00,42.00,6.67,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787540487645,"★全网超12亿阅读，百万级畅销长篇小说，张嘉佳的创作巅峰，热卖5年不衰之作！
★同名电影拍摄中，彭昱畅饰演刘十三，张嘉佳导演，敬请期待！
★随书特别赠送云边镇四季明信片四张 长体音乐书签。
★内文搭配多幅精美插画，还原故事情节，陪你度过云边镇的日与夜。
★惊喜彩蛋：主题歌《刘十三》由胡彦斌作曲，张嘉佳作词，带你进入故事场景，感受独特的听觉体验。
★写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。
★少年远航，云边守望，有些告别，就是最后一面。
1. 张嘉佳全新作品。畅销千万现象级作品《从你的全世界路过》后，暌违五年，
    写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。
2. 精美手绘插画。陪你度过云边镇的日与夜。
3. 惊喜彩蛋。张嘉佳作词单曲《刘十三》，带你来到书中现场。
4. 希望和悲伤，都是一缕光。总有一天，我们会再相遇。
 ",1619931,"['温情感人（819）', '装帧精美（724）', '经典必读（561）', '引人入胜（470）', '情节曲折（384）', '中国原创（272）']"
9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,[]
10,啊2.0（大冰作品！狂销100万册！新增10万字并包含旧书全文。）,"['大冰', '，磨铁图书 出品']",None,http://img3m9.ddimg.cn/97/25/28996999-1_w_40.jpg,2020年08月 ,北京联合出版有限公司,24.20,39.60,6.12,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787559643872,"★ 续写新写8篇催泪故事，感动千万人的故事影视改编权免费授权！
《啊2.0》在包含旧书全文基础上，新增10万字。新写《济南往事》、《乘务员》等故事；续写《一份授权书》《小奇迹》等故事。文字为生第8年，大冰坦诚讲述自己在济南的沉浮岁月；另将感动千万人的白血病少年越阳的故事，影视改编权免费授权。
  ★ 每篇文后增加各个文中人的声音，方便立体阅读
越阳弟弟妹妹的声音；“冒险家”小芸豆的声音；周三2岁半女儿的声音；谣牙子和乘务员媳妇儿的小日常……他们和你我，共存在同一个世界。
  ★ 专属歌单免费听，随文增加31首专属背景音乐
大冰亲自作词《济南往事》；另有《皇后镇》《一个歌手的情书》《以为》《我也可以是流浪诗人》《你是我的孤独》等31首背景音乐，这里藏着你想不到的情和义！
  ★ 随书附赠6款DIY贴纸，你的封面由你定义
首次在书中附赠小礼物——六枚个性贴纸，方便读者进行封面DIY。把《啊2.0》封面留给你，可以在空白的封面上DIY属于你的故事，定制你的专属封面！
  ★ 全新防伪升级！特别定制防伪环衬页 12个小屋镭射贴纸随机贴
《啊2.0》特别定制细砂纹理封面纸 淡蓝飘金环衬页，并新增12个小屋镭射贴纸（每本书随机贴），全新防伪升级，便于读者鉴别盗版书！
 ",787249,"['温情感人（831）', '装帧精美（790）', '引人入胜（624）', '经典必读（599）', '中国原创（515）', '情节曲折（468）']"
