排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,你就是孩子最好的玩具,"['（美）金伯莉·布雷恩 ', ' 夏欣茁 译']", 夏欣茁 ,http://img3m5.ddimg.cn/98/2/28517345-1_w_13.jpg,2020年03月 ,南方出版社,15.80,36.00,4.39,亲子/家教,家教方法,16开,胶版纸,平装-胶订,否,9787550102996,"你是否知道，你本人（没错，就是你！）比任何玩具都更让孩子喜欢和着迷呢？孩子们并不需要智力玩具或者电视节目，他们需要的是你！ 
  你就是孩子*好的玩具，是“情感引导式教育”的开山之作 经典版本，奠定父母与孩子一生亲密关系的情感引导书
从几年前版权引进国内，它已经成功吸粉——无数。这一切凭的只是内容 口碑。
用CCTV主持人樊登的话说，“我认为这是我人生当中读到的zui幸运的一本书，所以我把它推荐给所有准备当父母或者已经当了父母的家长。几乎所有人读完这本书，都会觉得非常的感激。”
3.美国儿童教育专家们一致推崇的育儿指南，情感引导5步法，帮助孩子学会解决问题。
CCTV《实话实说》等栏目主持人樊登、北京卫视强力推荐
5.这本书适合多大的孩子？
婴幼儿，3-6，7岁以上的孩子都适用。
在我看来，你的孩子就算20多岁，你就是孩子*好的玩具这本书也同样适用。随时改变，都有机会让家庭变得不同。
3. 内容提要*
你是否知道，你本人（没错，就是你！）比任何玩具都更让孩子喜欢和着迷呢？
孩子们并不需要智力玩具或者电视节目，他们需要的是你！他们真正看重的是和你在一起的快乐时光，他们需要被重视，需要和父母单独相处而不被打扰的时间，需要和父母建立一生的亲密关系！
在处理与孩子沟通的问题时，控制、放任、贿赂、威胁都是家长们常用的方法。这些不同类型的教育方法都有一个严重的缺陷，那就是可能导致孩子无法以恰当的方式来表达情感和进行沟通，从而无法建立起父母与孩子的亲密关系，孩子也就无法得到家庭关系所带来的归属感和安全感。
与这些方法相比，情感引导的教育方法更加充满关爱，也更符合逻辑和人性。因为只有情感引导型父母才会把这些棘手的情况当成了解孩子内心世界的好机会，并且对孩子的情绪给予同情和理解，在沟通中增进亲子关系，进而提高孩子的情商和沟通能力，为他们将来的成长打下有益的基础。
 ",864560,"['家长必读（1842）', '实用（1333）', '内容丰富（977）', '宝妈必备（958）', '亲子关系（883）', '共同成长（858）', '隔代养育（850）', '儿童心理（684）']"
2,啊2.0（大冰作品！狂销100万册！新增10万字并包含旧书全文。）,"['大冰', '，磨铁图书 出品']",None,http://img3m9.ddimg.cn/97/25/28996999-1_w_40.jpg,2020年08月 ,北京联合出版有限公司,24.20,39.60,6.12,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787559643872,"★ 续写新写8篇催泪故事，感动千万人的故事影视改编权免费授权！
《啊2.0》在包含旧书全文基础上，新增10万字。新写《济南往事》、《乘务员》等故事；续写《一份授权书》《小奇迹》等故事。文字为生第8年，大冰坦诚讲述自己在济南的沉浮岁月；另将感动千万人的白血病少年越阳的故事，影视改编权免费授权。
  ★ 每篇文后增加各个文中人的声音，方便立体阅读
越阳弟弟妹妹的声音；“冒险家”小芸豆的声音；周三2岁半女儿的声音；谣牙子和乘务员媳妇儿的小日常……他们和你我，共存在同一个世界。
  ★ 专属歌单免费听，随文增加31首专属背景音乐
大冰亲自作词《济南往事》；另有《皇后镇》《一个歌手的情书》《以为》《我也可以是流浪诗人》《你是我的孤独》等31首背景音乐，这里藏着你想不到的情和义！
  ★ 随书附赠6款DIY贴纸，你的封面由你定义
首次在书中附赠小礼物——六枚个性贴纸，方便读者进行封面DIY。把《啊2.0》封面留给你，可以在空白的封面上DIY属于你的故事，定制你的专属封面！
  ★ 全新防伪升级！特别定制防伪环衬页 12个小屋镭射贴纸随机贴
《啊2.0》特别定制细砂纹理封面纸 淡蓝飘金环衬页，并新增12个小屋镭射贴纸（每本书随机贴），全新防伪升级，便于读者鉴别盗版书！
 ",787249,"['温情感人（831）', '装帧精美（790）', '引人入胜（624）', '经典必读（599）', '中国原创（515）', '情节曲折（468）']"
3,晚熟的人（莫言新书）,['莫言'],None,http://img3m6.ddimg.cn/14/34/28994936-1_w_9.jpg,2020年07月 ,人民文学出版社,29.50,59.00,5,小说,中国当代小说,32开,胶版纸,精装,否,9787020164776,".
 ",457850,"['装帧精美（835）', '经典必读（831）', '引人入胜（622）', '温情感人（597）', '中国原创（563）', '情节曲折（494）']"
4,东野圭吾：沉默的巡游 （2020年全新力作 中文简体版初次上市）,"['（日）东野圭吾 ', ' ， 新经典 出品']",None,http://img3m4.ddimg.cn/95/15/28522094-1_w_5.jpg,2020年03月 ,南海出版公司,29.50,59.00,5,小说,外国小说,32开,轻型纸,精装,否,9787544280662,"★东野圭吾强势回归高峰新作，中文简体初次出版
★《白夜行》《嫌疑人X的献身》《放学后》《新参者》后，第5次登顶周刊文春年度推理榜！
★东野圭吾：《沉默的巡游》是我的集大成之作，希望在翻译成英文后，能将《嫌疑人X的献身》没能拿到的爱伦·坡奖一举拿下。
★这是一桩众目睽睽下的凶杀案：巡游盛典，人声鼎沸，一群失去挚爱的人为复仇走上街头。然而，计划意外中止了，但目标却真的被杀了。他们成了嫌疑人。
★四起案件层层递进，打破经典推理模式，全程高能反转，难度之大令东野圭吾都直呼难写。
★“神探伽利略”系列新作：这一次，东野圭吾用“嫌疑人们的献身”，试图改写《嫌疑人X的献身》的结局。
★这是一个悲伤的故事，却会给你一整年的温暖
★日本上市当月，平均每6秒卖出1本。“神探伽利略”系列日文版销量超1360万册。
★东野圭吾在《沉默的巡游》里下了一盘大棋，布下了细思极恐的文字迷宫。故事的前一半和后一半，仿佛是两个故事，让我读到后面不断思考：之前是怎么被误导的？简直怀疑自己的眼睛。——读者评论
★封面由知名设计师设计，华美印金工艺，精装典藏，随书附赠精美书签
 ",192343,"['装帧精美（635）', '引人入胜（524）', '情节曲折（516）', '经典必读（504）', '温情感人（349）']"
5,霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的所有可能）,"['（哥伦比亚）加西亚 · 马尔克斯 ', ' ， 新经典 出品']",None,http://img3m0.ddimg.cn/59/31/28522850-1_w_1701666255.jpg,2020年03月 ,南海出版公司,49.60,69.00,7.19,小说,外国小说,32开,轻型纸,精装,否,9787544297059,"★《霍乱时期的爱情》中文版畅销300万册纪念版·全新精美内封·典藏必收
★ 爱情，首先是一种本能，要么生下来就会，要么永远都不会。
★ 有两部书写完后让我整个儿被掏空了：一是《百年孤独》，一是《霍乱时期的爱情》。——加西亚·马尔克斯
★ 有些人说死亡是人类LI SHI上ZUI重要的主题，我不这样认为。我认为爱才是，因为万物都与爱有关。——加西亚·马尔克斯
★ 这部光芒闪耀、令人心碎的作品可能是人类有史以来ZUI伟大的关于爱情的小说。——《纽约时报》
★ 这部多姿多彩、时间跨度为五十年的悲欢离合的巨著，展示了所有爱情的可能性，所有爱情的方式、表现、手段、痛苦、愉快、折磨和幸福。它堪称一部充满啼哭、叹息、渴望、挫折、不幸、欢乐和狂喜的爱情大全。——安东尼奥·卡瓦耶罗
★ 在《霍乱时期的爱情》里，马尔克斯的叙述语言达到了一个新高度：既经典又口语化，如蛋白石一般纯净，能够赞美和诅咒，大笑和哭泣，喊叫和歌唱，在必要时，能够腾空而起，翱翔空中。——托马斯·品钦
★《霍乱时期的爱情》是我ZUI好的作品，是我发自内心的创作。——加西亚·马尔克斯
★ 一部丰富且具有张力的小说，高超的叙事能力与广阔的视野融为一体。——《纽约时报》
★ 这是一个充满人情味的、无关乎时间的故事，故事的讲述者是本世纪ZUI有魅力的作家之一。——《芝加哥太阳时报》图书周刊
★ 加西亚·马尔克斯所创造的的世界是一个微观的世界。它以纷乱喧嚣、使人迷惑的现实描绘，反映了这个大陆令人信服的财产与贫困的现实。也许不仅如此，这是一个宇宙，人类心灵与历史的动力结合在一起，不时冲击着混乱的界限——屠杀与繁衍。  ——诺贝尔文学奖颁奖辞
★ 一部在写作上烂熟的小说，永远暗含丰富的哲理，充满人性的光辉。  ——《出版家周刊》    
★《霍乱时期的爱情》写尽了生命的尊严与哀伤，呈现出一片人世的奇迹。  ——《朝日新闻》
★ 在《霍乱时期的爱情》中，马尔克斯发掘出一条新的道路，一条漫长的永恒爱情的通道。  ——《快报》（法国）
★ 一部华丽的作品，以爱情、死亡、回忆、不可避免的衰老为主题。——《华盛顿邮报》
 ",919996,"['装帧精美（5225）', '经典必读（4808）', '温情感人（3025）', '情节曲折（2602）', '引人入胜（2508）']"
6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,[]
7,养育女孩（新版）,['[澳]史蒂夫·比达尔夫'],None,http://img3m1.ddimg.cn/67/19/28520581-1_w_5.jpg,2020年03月 ,中信出版社,19.90,39.80,5,亲子/家教,培育女孩,16开,纯质纸,平装-胶订,否,9787521711837,"不论你的女孩刚降临人间，还是蹒跚学步，抑或是豆蔻年华，《养育女孩》一书都适合你——天下所有深爱你们女儿的父母们！
《养育女孩》是畅销全球500万册《养育男孩》作者史蒂夫·比达尔夫写给女孩父母的养育指南，也是你培养聪慧优雅、坚强独立、内心强大的女孩的实用宝典！
《养育女孩》将告诉你：
如何把握女孩成长的5个阶段，帮助她们成长为聪慧、优雅、独立和内心强大的女人？
父母如何在女儿的生命之初与她建立亲密的联结？
父母怎样教给女孩纪律和规则使她在关键时刻足够强大？
总给女儿买那种强调外表和着装的玩具的做法是否正确？
女孩应该掌握哪7种提高社交能力的关键技巧？
怎样帮助女儿远离性侵、同侪欺凌、减肥节食等问题的困扰？
希望本书能帮助你将你感受到的所有的爱，都赋予你的女儿。
 ",547983,"['家长必读（1010）', '实用（632）', '亲子关系（576）', '宝妈必备（566）', '共同成长（535）', '内容丰富（529）', '儿童心理（444）', '隔代养育（246）']"
8,东野圭吾：祈念守护人（东野圭吾2020年全新长篇，全球同步发售）,"['（日）东野圭吾 ', ' ， 新经典 出品']",None,http://img3m6.ddimg.cn/33/8/28549356-1_w_27.jpg,2020年06月 ,南海出版公司,29.50,59.00,5,小说,侦探/悬疑/推理小说,32开,轻型纸,精装,否,9787544299015,"★《解忧杂货店》八年后，东野圭吾又一部奇迹小说！2020年全新长篇，中日初次联合策划，同步出版
★东野圭吾初次寄语中国读者：“我写《祈念守护人》的目的，是祈愿读者能对明天充满希望，愿这本书能让人们在如今这样的情况下振奋一点点。衷心祈祷《祈念守护人》能带给中国读者些许温暖。”
★一本全新的《解忧杂货店》，风格奇妙又暖心，故事更好读！
迷茫而平凡的人，这世上到处都是。只要向那棵树祈念，愿望就能实现，真的会有这样的奇迹哦！
★一本传递信念与力量的书，非常适合现在读：
在不安的世界，你想活出怎样的人生？或许《解忧杂货店》给过你触动，或许《祈念守护人》会给你答案！
我总是写有人死掉的故事，偶尔也想写写怎样让人活下去。——东野圭吾
★一本送给迷茫年轻人的人生感悟之书：
《祈念守护人》写出我们每个人都可能会遇到的困扰，也带我们找到自我和解的路径与内心深处的安宁
★一本能破圈、能共情、能长久传播的书：
不仅是东野迷和推理迷，《祈念守护人》会触达更多读者，不知道东野是谁的人也会喜欢
★想起那些行将忘却的重要的事，不觉间被温柔包围了。正因处在这个时代，更希望大家可以读一读这个故事。我断言《祈念守护人》是东野圭吾先生新的代表作。——日文版责编
★这是一个奇妙又暖心的故事，月下的神楠总是默默守护着每个人无法向他人诉说的心声。《祈念守护人》有一种力量，能够让人重拾在生活中被钝感了的真情。——中文版责编
  ",122812,"['装帧精美（528）', '经典必读（426）', '悬疑推理（348）', '情节曲折（323）', '剧情烧脑（262）']"
9,健康日历2021(包邮。日历直立办法，请参考封面主图的流程。请注意：向内翻折),['丁香医生'],None,http://img3m8.ddimg.cn/87/19/29133708-1_w_4.jpg,2020年09月 ,现代出版社,35.00,99.80,3.51,保健/养生,健康百科,64开,胶版纸,平装-胶订,否,9787519278144,None,91368,"['实用（137）', '自我关怀（120）', '保健常识（111）', '老年人养生（111）', '内容丰富（83）', '男性养生（66）', '女性保健（57）', '上班养生（47）']"
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,[]
