排名, 书名, 作者, 翻译者, 封面, 出版社时间, 出版社, 现价, 定价,折扣, 大类型, 子类型, 开本, 纸张, 包装, 是否套装,ISBN , 编辑推荐 ,评论数量 , 评论标签
1,我与地坛（纪念版）（2024年百班千人寒假书单 九年级推荐阅读）,['史铁生'],None,http://img3m1.ddimg.cn/6/9/21055821-1_w_1703840299.jpg,2011年06月 ,人民文学出版社,17.50,29.00,6.04,文学,中国现当代随笔,32开,胶版纸,精装,否,9787020084357,"这本书是在史铁生2010年12月30日出版的，第二天的凌晨，史铁生就永远离开我们了。本来，这是我们送给他的一个新年大礼，现在回过头来想，《我与地坛》其实是史铁生送给我们每个人的礼物。当年《我与地坛》发表的时候，韩少功说过，即使今年没有任何文学作品，只要有《我与地坛》，就是文学的丰收年。这篇作品是史铁生送给所有人的无价的礼物。史铁生以他的毅力和智慧，度过了四十年的轮椅生涯，写下了数百万字的作品，成为当代有成就的作家。他的影响和贡献，远超于文学之上；他给予读者的，不仅是精美洁净的文字，更是健康的精神、深沉的爱和对人生真谛的探寻。现在，他走了，但他的精神永远存在。《我与地坛》是史铁生在讲他自己的故事，我们可以从中重新认识史铁生，深刻理解史铁生。
    ",1165411,"['经典必读（997）', '装帧精美（853）', '引人入胜（589）', '优美隽永（553）']"
2,和大人一起读（一至四册）一年级上册 语文教科书配套书目 人教版快乐读书吧,['曹文轩、陈先云 主编'],None,http://img3m3.ddimg.cn/90/20/27931653-1_w_13.jpg,2019年08月 ,人民教育出版社,19.10,39.80,4.8,中小学用书,小学阅读,16开,胶版纸,平装-胶订,是,9787107335501,None,459953,"['对孩子有帮助（485）', '孩子喜欢（373）', '实用（363）', '图文并茂（299）', '同步辅导（225）', '内容全面（209）', '内容详细（200）']"
3,额尔古纳河右岸（茅盾文学奖获奖作品全集28）,['迟子建'],None,http://img3m8.ddimg.cn/5/14/27878108-1_w_1703749538.jpg,2019年06月 ,人民文学出版社,16.00,32.00,5,小说,中国当代小说,32开,胶版纸,平装-胶订,否,9787020139590,"一九八一年三月十四日，病中的中国作家协会主席茅盾致信作协书记处：“亲爱的同志们，为了繁荣长篇小说的创作，我将我的稿费二十五万元捐献给作协，作为设立一个长篇小说文艺奖金的基金，以奖励每年*秀的长篇小说。我自知病将不起，我衷心地祝愿我国社会主义文学事业繁荣昌盛！”
茅盾文学奖遂成为中国当代文学的*奖项，自一九八二年起，基本为四年一届。获奖作品反映了一九七七年以后长篇小说创作发展的轨迹和取得的成就，是卷帙浩繁的当代长篇小说文库中的翘楚之作，在读者中产生了广泛的、持续的影响。
人民文学出版社曾于一九九八年起出版“茅盾文学奖获奖书系”，先后收入本社出版的获奖作品。二〇〇四年，在读者、作者、作者亲属和有关出版社的建议、推动与大力支持下，我们编辑出版了“茅盾文学奖获奖作品全集”，并一直努力保持全集的完整性，使其成为读者心目中“茅奖”获奖作品的权威版本。现在，我们又推出不同装帧的“茅盾文学奖获奖作品全集”，以满足广大读者和图书爱好者阅读、收藏的需求。
获茅盾文学奖殊荣的长篇小说层出不穷，“茅盾文学奖获奖作品全集”的规模也将不断扩大。感谢获奖作者、作者亲属和有关出版社，让我们共同努力，为当代长篇小说创作和出版做出自己的贡献，为广大读者提供更多的优秀作品。
  人民文学出版社编辑部
 ",797508,"['经典必读（123）', '装帧精美（110）', '温情感人（80）', '引人入胜（71）', '情节曲折（61）', '中国原创（57）']"
4,第七天（2024年百班千人寒假书单 九年级推荐阅读）（2022版，余华长篇小说经典，比《活着》更绝望，比《兄弟》更荒诞，获华语文学传媒大奖）,"['余华 ', '， 新经典 出品']",None,http://img3m6.ddimg.cn/87/11/29490306-1_w_8.jpg,2022年12月 ,新星出版社,33.80,49.00,6.9,小说,中国当代小说,32开,胶版纸,精装,否,9787513348744,"-余华长篇小说经典
-写尽中国人骨子里的善良与悲哀
-获意大利波特利·拉特斯·格林扎纳文学奖
-华语文学传媒大奖-年度杰出作家
-“宽广的沉默里暗暗涌动千言万语，那是很多的卑微人生在自我诉说。”
 ",531015,"['经典必读（4）', '引人入胜（3）', '情节曲折（2）', '温情感人（2）', '装帧精美（2）', '中国原创（1）']"
5,你也走了很远的路吧（新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人）,"['卢思浩 ', ',博集天卷 出品']",None,http://img3m1.ddimg.cn/46/7/29460961-1_w_11.jpg,2022年09月 ,湖南文艺出版社,22.90,49.80,4.6,文学,中国现当代随笔,32开,胶版纸,平装-胶订,否,9787572608377,"1.青年作家卢思浩《你也走了很远的路吧》经典再版，精心修订，崭新装帧。
2.新增2万余字，4篇文章，关于特殊时期成长的勇气，以及曾经的那些人。
3.你想要看的那片风景，以及想要遇到的人，终将会与你相遇，在你成为自己的路上。
4.每个人都能从故事中读到青春，看到自己。
20个触动人心的青春故事；21首青春配乐，与卢思浩共赴青春演唱会。
5.随书附赠卢思浩致读者的信，把这几年的体会讲给你听。
6.内外双封，精美手绘彩插，随书附赠封面同款海报1张 明信片1套 文笔续写挑战卡1张 书签1张。
 ",646184,"['装帧精美（1310）', '经典必读（953）', '引人入胜（781）', '优美隽永（600）']"
6,活着（余华代表作，精装，易烊千玺推荐阅读）,"['余华 ', ' ，新经典 出品']",None,http://img3m3.ddimg.cn/23/25/29311943-1_w_34.jpg,2021年10月 ,北京十月文艺出版社,31.00,45.00,6.89,小说,社会小说,32开,轻型纸,精装,否,9787530221532,"★《活着》讲述了人如何去承受巨大的苦难；讲述了眼泪的宽广和丰富；讲述了绝望的不存在；讲述了人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着。                   
★本书获
-意大利格林扎纳·卡佛文学奖
-意大利朱塞佩·阿切尔比国际文学奖
★同名电影获戛纳国际电影节评审团大奖
★这是一个人和他的命运之间的友情，这是ZUI为感人的友情，因为他们互相感激，同时也互相仇恨；他们谁也无法抛弃对方，同时谁也没有理由抱怨对方。
他们活着时一起走在尘土飞扬的道路上，死去时又一起化作雨水和泥土。
★《活着》里的福贵让我相信：生活是属于每个人自己的感受，不属于任何别人的看法。我想，这可能是写作给予我的酬谢。
  ——余华 
  ",1379476,"['经典必读（4485）', '装帧精美（4281）', '温情感人（2925）', '情节曲折（2554）', '引人入胜（2428）']"
7,认知破局 怎样突破能力、视野和人脉 全民商业导师张琦给大家的人生破局指南,"['张琦 ', '，磨铁文化 出品']",None,http://img3m8.ddimg.cn/50/8/29599268-1_w_1706163843.jpg,2023年06月 ,北京联合出版有限公司,49.00,69.80,7.03,管理,一般管理学,32开,胶版纸,平装-胶订,否,29599268,"★全民商业导师张琦作品，写给大家的人生破局指南。认知对了，事就成了！
★作者张琦，国民级顶流商业导师，2022年5月横空出世，刷爆全网。以清晰的思维、透彻的分析和富有感染力的表达，收获无数好评。短视频作品全网累计播放量超过100亿次，几乎每个人都刷到过张琦的视频。
★《商界评论》评论道：张琦点燃了商业培训的全民时代。
★新书《认知破局》，结合作者从事企业培训18年对商业的思考，以及自己走红全网，打造爆款内容的心法与方法，首度结集出版。囊括5大认知维度，48条破局锦囊，助你突破能力、视野和人脉。
★每一个句子，都醍醐灌顶！
·如何提升认知？——拉高一个维次，用未来的眼光看现在 。
·如何确定方向？——以终为始，找到自己独一无二的价值。
·如何找准痛点？——聚焦一个群体，切准一个场景，解决一个问题。
·如何磨练心性？——心里能装多少人，就能成多大的事
·如何突破自己？——跳出自己的圈层做事，才是真正的狠人
·如何把握机遇？——时代算法 时代趋势 你的优势，就是财富机会
★格力集团董事长董明珠、分众传媒创始人江南春、著名产品战略专家梁宁等各界大咖，齐声推荐。
★精装工艺，高端大气；跨页设计，震撼视觉；专色印刷，重点清晰。
★你的认知高度，决定你的成长速度。
 ",114773,"['观点独特（2）', '可操作性强（1）', '实用（1）', '通俗易懂（1）']"
8,古汉语常用字字典(第5版)新版商务印书馆 王力古汉语字典词典文言文工具书汉语中学生小学生教辅工具书实用工具书,['原编者 王力 岑麒祥 林焘 等，修订者 蒋绍愚 唐作藩 张万起 等'],None,http://img3m9.ddimg.cn/91/34/24008779-1_w_41.jpg,2016年04月 ,商务印书馆,34.00,39.90,8.53,工具书,汉语工具书,32开,胶版纸,平装-胶订,否,9787100119160,"北京大学蒋绍愚教授主持修订
中学生、语文教师、大学中文系学生常用工具书
曾荣获首届中国辞书奖一等奖，迄今发行量超过
本次修订内容主要包括：
1. 增加了一些常用的义项。
2. 完善了释义，释义更精准、易于理解。
3. 更新了部分例句，例句更典型，更能帮助读者理解释义。
4. 修改了引书体例。
5. 根据《通用规范汉字表》全面调整了字头和释义用字。
 ",630644,"['对孩子有帮助（5355）', '实用（4568）', '孩子喜欢（2777）', '同步辅导（2449）', '图文并茂（2157）', '内容详细（1756）', '内容全面（1689）']"
9,窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直译全新版 “你希望很快忘记吗？—我希望永远不忘”）,['[法] 安德烈·纪德，译者 顾琪静，果麦文化 出品'],None,http://img3m7.ddimg.cn/13/11/25479247-1_w_1702981587.jpg,2018年10月 ,天津人民出版社,22.50,45.00,5,小说,社会小说,32开,轻型纸,精装,否,9787201141527,"  法文直译全新版，更通俗易读，符合现代人的阅读习惯。
诺贝尔文学奖经典，法国文坛不可绕过的作家。
安德烈·纪德笔下刻骨铭心的爱恋。
读完《窄门》，你便读懂了纪德的一生。
封面设计更贴合小说主旨。
  推荐您购买果麦其他畅销书：
 ",246682,"['装帧精美（206）', '经典必读（202）', '引人入胜（135）', '温情感人（126）', '情节曲折（122）']"
10,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,"['岸見一郎, 古賀史健']",None,http://img3m2.ddimg.cn/33/26/28518072-1_w_9.jpg,2020年03月 ,机械工业出版社,27.50,55.00,5,成功/励志,心灵与修养,16开,胶版纸,平装-胶订,否,9787111495482,"「被讨厌的勇气」并不是要去吸引被讨厌的负向能量，而是，如果这是我生命想绽放出美的光彩，那么，即使有被讨厌的可能，我都要用自己的双手双脚往那里走去。」
「因为拥有了被讨厌的勇气，于是有了真正幸福的可能。」

你是否常常对繁琐的生活感到乏味？
你是否时时为复杂的人际关系感到疲惫？
你是否认为人生的意义越来越模糊难见？
我们如何能够在繁杂的日常琐碎和复杂的人际关系中用自己的双手去获得真正的幸福？
这一切的答案尽在这本《被讨厌的勇气》中！

★日本亚马逊2014年度销售冠军，连续300天雄踞销售榜首！
★蔡康永、张德芬 陈文茜、曾宝仪、勇气推荐！
★张沛超、胡慎之、动机在杭州 作序推荐！
★阿德勒思想拥有改变人一生的力量。剩下的就只有能否鼓起迈出一步的“勇气” 
 ",1329907,"['受益匪浅（327）', '振奋人心（282）', '文笔流畅（272）', '感染力强（265）', '干货满满（245）', '内容丰富（219）', '实用（217）', '心灵鸡汤（198）']"
